operateur,annee,filiere,consor,code_commune,libelle_commune,code_departement,id_filiere,consototale
Enedis,"2017",Electricité,"485.71","09180",Manses,"09","100","769.01"
Enedis,"2017",Electricité,"2774.92","09182",Massat,"09","100","3261.65"
Enedis,"2017",Electricité,"1139.31","09187",Mercenac,"09","100","1187.9199999999998"
Enedis,"2017",Electricité,"67.38","09195",Monesple,"09","100","67.38"
Enedis,"2017",Electricité,"83.46","09196",Montagagne,"09","100","83.46"
Enedis,"2017",Electricité,"626.15","09203",Montels,"09","100","626.15"
Enedis,"2017",Electricité,"206.27","09205",Montfa,"09","100","206.27"
Enedis,"2017",Electricité,"380.48","09208",Montgauch,"09","100","380.48"
Enedis,"2017",Electricité,"792.14","09213",Moulin-Neuf,"09","100","793.42"
Enedis,"2017",Electricité,"439.11","09215",Nalzen,"09","100","439.11"
Enedis,"2017",Electricité,"919.81","09217",Niaux,"09","100","6478.870000000001"
Enedis,"2017",Electricité,"1525.62","09224",Pailhès,"09","100","1525.62"
Enedis,"2017",Electricité,"679.83","09227",Péreille,"09","100","679.83"
Enedis,"2017",Electricité,"1229.56","09228",Perles-et-Castelet,"09","100","2036.3"
Enedis,"2017",Electricité,"1698.82","09229",Le Peyrat,"09","100","1698.82"
Enedis,"2017",Electricité,"123.49","09233",Pradettes,"09","100","123.49"
Enedis,"2017",Electricité,"2647.54","09238",Les Pujols,"09","100","3925.24"
Enedis,"2017",Electricité,"936.05","09239",Quérigut,"09","100","936.05"
Enedis,"2017",Electricité,"218.11","09242",Raissac,"09","100","290.40000000000003"
Enedis,"2017",Electricité,"2263.09","09244",Rieucros,"09","100","2407.61"
Enedis,"2017",Electricité,"645.36","09249",Roquefixade,"09","100","645.36"
Enedis,"2017",Electricité,"177.24","09255",Saint-Amans,"09","100","177.24"
Enedis,"2017",Electricité,"212.25","09256",Saint-Bauzeil,"09","100","212.25"
Enedis,"2017",Electricité,"494.63","09259",Saint-Félix-de-Tournegat,"09","100","494.63"
Enedis,"2017",Electricité,"8777.17","09265",Saint-Jean-du-Falga,"09","100","13843.07"
Enedis,"2017",Electricité,"1133.97","09269",Saint-Martin-de-Caralp,"09","100","1133.97"
Enedis,"2017",Electricité,"266.31","09271",Saint-Michel,"09","100","266.31"
Enedis,"2017",Electricité,"2235.42","09273",Saint-Pierre-de-Rivière,"09","100","2235.42"
Enedis,"2017",Electricité,"1196.17","09274",Saint-Quentin-la-Tour,"09","100","1205.02"
Enedis,"2017",Electricité,"569.73","09284",Ségura,"09","100","569.73"
Enedis,"2017",Electricité,"2612.17","09293",Serres-sur-Arget,"09","100","2999.83"
Enedis,"2017",Electricité,"886.48","09296",Aulos-Sinsat,"09","100","896.48"
Enedis,"2017",Electricité,"543.03","09300",Soula,"09","100","543.03"
Enedis,"2017",Electricité,"471.67","09307",Taurignan-Castet,"09","100","472.01"
Enedis,"2017",Electricité,"244.83","09310",Thouars-sur-Arize,"09","100","285.35"
Enedis,"2017",Electricité,"405.04","09315",Trémoulet,"09","100","405.04"
Enedis,"2017",Electricité,"308.03","09319",Unzent,"09","100","314.51"
Enedis,"2017",Electricité,"136.06","09330",Vernaux,"09","100","136.06"
